Datum und Zeit,Doktoren,Weighted Tardiness,Used Solver,Completion Time in seconds
2025-03-27 14:04:12,2,661.0,CPSolver,60.063822507858276
2025-03-27 15:05:47,2,10098.0,CPSolver,60.194056034088135
2025-03-27 15:12:20,2,9851.0,CPSolver,300.0747983455658
2025-03-27 15:14:29,2,9963.0,CPSolver,60.07297945022583
2025-03-27 15:16:46,2,9976.0,CPSolver,120.04772472381592
2025-03-28 13:10:06,2,10091.0,CPSolver,60.098695278167725
2025-03-28 15:01:09,2,10206.0,CPSolver,60.09875440597534
2025-03-28 15:04:05,2,10070.0,CPSolver,60.07474064826965
2025-03-28 15:10:27,2,10092.0,CPSolver,60.051090240478516
2025-03-28 15:59:38,2,10083.0,CPSolver,60.051814556121826
2025-03-28 16:01:53,2,10965.0,CPSolver,20.06466555595398
2025-03-28 16:03:11,2,10623.0,CPSolver,20.0645112991333
2025-03-28 16:04:39,2,10825.0,CPSolver,20.07300639152527
2025-03-28 16:07:58,2,10430.0,CPSolver,20.04034423828125
2025-03-28 16:09:35,2,10673.0,CPSolver,20.048266172409058
2025-03-28 16:21:13,2,0.0,CPSolver,0.05500674247741699
2025-03-28 16:22:46,2,0.0,CPSolver,0.04058694839477539
